,Order,Date,Date Shipped,Shipping Method,Customer Number,Segment,Postal Code 1,Product ID,Sales,Quantity,Discount,Profit
0,CA-2017-102204,2020-05-01,2020-05-06,Standard Class,CJ-12010,Consumer,32216,FUR-TA-10001889,933.262,4,0.45,-458.1468
1,CA-2017-102204,2020-05-01,2020-05-06,Standard Class,CJ-12010,Consumer,32216,FUR-CH-10002024,2803.92,5,0.2,0.0
2,CA-2017-103212,2020-10-13,2020-10-14,First Class,MH-18025,Consumer,70506,FUR-TA-10003473,1504.52,4,0.0,346.0396
3,CA-2017-108035,2020-11-29,2020-12-03,Standard Class,TT-21070,Consumer,37421,FUR-CH-10000454,390.36800000000005,2,0.2,48.79600000000001
4,CA-2017-113558,2020-10-21,2020-10-26,Standard Class,PH-18790,Home Office,33801,FUR-CH-10003379,683.952,3,0.2,42.747
5,CA-2017-117198,2020-08-31,2020-09-05,Standard Class,BG-11035,Consumer,71203,TEC-AC-10003033,659.9,2,0.0,217.767
6,CA-2017-119284,2020-06-15,2020-06-20,Standard Class,TS-21205,Corporate,37211,OFF-ST-10001490,142.776,1,0.2,17.847
7,CA-2017-128363,2020-08-13,2020-08-18,Standard Class,DC-12850,Consumer,38109,OFF-BI-10001359,1614.582,6,0.7,-1237.8462
8,CA-2017-129021,2020-08-23,2020-08-26,Second Class,PO-18850,Consumer,32303,TEC-PH-10001459,4367.896,13,0.2,327.5922
9,CA-2017-133263,2020-03-31,2020-04-02,Second Class,JE-15610,Corporate,30318,TEC-CO-10001449,2999.95,5,0.0,1439.976
10,CA-2017-140872,2020-06-03,2020-06-10,Standard Class,NR-18550,Consumer,33024,TEC-AC-10003832,205.99200000000002,1,0.2,-2.5749
11,CA-2017-142090,2020-11-30,2020-12-07,Standard Class,SC-20380,Consumer,27217,FUR-TA-10001889,1781.682,7,0.4,-653.2834
12,CA-2017-143567,2020-11-02,2020-11-05,Second Class,TB-21175,Corporate,42420,FUR-CH-10000454,975.92,4,0.0,292.776
13,CA-2017-143756,2020-12-02,2020-12-05,First Class,ME-17725,Consumer,24153,FUR-CH-10001854,701.96,2,0.0,168.4704
14,CA-2017-146192,2020-04-22,2020-04-26,Standard Class,BD-11725,Consumer,31907,OFF-ST-10003716,675.06,3,0.0,87.7578
15,CA-2017-157854,2020-04-08,2020-04-15,Standard Class,DM-13345,Corporate,30076,OFF-BI-10001359,2690.97,3,0.0,1264.7559
16,CA-2017-158729,2020-12-19,2020-12-21,First Class,AC-10450,Consumer,70506,OFF-SU-10002881,1665.62,2,0.0,33.3124
17,CA-2017-165204,2020-11-13,2020-11-16,Second Class,MN-17935,Consumer,38109,OFF-ST-10003716,720.064,4,0.2,-63.0056
18,US-2017-100930,2020-04-07,2020-04-12,Standard Class,CS-12400,Home Office,33614,FUR-TA-10003473,620.6145,3,0.45,-248.2458
19,US-2017-100930,2020-04-07,2020-04-12,Standard Class,CS-12400,Home Office,33614,TEC-AC-10003832,617.976,3,0.2,-7.7247
20,US-2017-105935,2020-01-26,2020-01-31,Standard Class,BD-11500,Consumer,31907,TEC-PH-10001459,2939.93,7,0.0,764.3818
21,US-2017-109610,2020-11-25,2020-11-30,Second Class,BS-11590,Corporate,40214,FUR-CH-10001854,701.96,2,0.0,168.4704
22,US-2017-120390,2020-10-19,2020-10-26,Standard Class,TH-21550,Home Office,27217,OFF-BI-10004995,1633.1879999999999,4,0.7,-1306.5504
23,US-2017-162558,2020-10-02,2020-10-05,First Class,Dp-13240,Home Office,37918,FUR-TA-10000198,2314.116,7,0.4,-1002.7836
24,US-2017-167920,2020-12-09,2020-12-12,Second Class,JL-15835,Consumer,40475,TEC-CO-10001046,1399.98,2,0.0,629.991
